System no.,AMR,apol,Si,MW,McG_Vol,VABC
1,22.087,13.978344,108.4220623,88.0524295,0.681,82.9643919
2,22.087,13.978344,108.4220623,88.0524295,0.681,82.9643919
3,22.087,13.978344,108.4220623,88.0524295,0.681,82.9643919
4,124.6644,94.141166,707.1332132,422.485152,4.3356,527.4359975
5,52.5598,50.830962,384.7376419,226.2660511,2.363,285.2922127
6,34.4873,26.884274,208.6661222,130.1357652,1.2945,155.7145624
7,34.4873,26.884274,208.6661222,130.1357652,1.2945,155.7145624
8,26.849,10.48,37.80288623,151.8754107,0.7391,86.69671441
9,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
10,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
11,23.2928,24.748688,184.2260407,112.1252005,1.1272,134.567877
12,26.849,10.48,37.80288623,151.8754107,0.7391,86.69671441
13,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
14,26.849,10.48,37.80288623,151.8754107,0.7391,86.69671441
15,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
16,21.7066,13.978344,108.4220623,88.0524295,0.7466,92.6843919
17,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
18,21.7066,13.978344,108.4220623,88.0524295,0.7466,92.6843919
19,22.087,13.978344,108.4220623,88.0524295,0.681,82.9643919
20,34.4873,26.884274,208.6661222,130.1357652,1.2945,155.7145624
21,34.4873,26.884274,208.6661222,130.1357652,1.2945,155.7145624
22,34.4873,26.884274,208.6661222,130.1357652,1.2945,155.7145624
23,26.849,10.48,37.80288623,151.8754107,0.7391,86.69671441
24,26.849,10.48,37.80288623,151.8754107,0.7391,86.69671441
25,26.849,10.48,37.80288623,151.8754107,0.7391,86.69671441
26,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
27,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
28,34.4873,26.884274,208.6661222,130.1357652,1.2945,155.7145624
29,23.4438,19.895102,154.455091,86.10955045,0.954,112.3323665
30,29.267,26.082274,200.5116012,114.1408506,1.2358,146.9243357
31,23.2928,24.748688,184.2260407,112.1252005,1.1272,134.567877
32,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
33,17.4696,18.561516,138.1695305,84.09390038,0.8454,99.97590776
34,30.9558,14.560758,89.3128491,78.04695019,0.7164,81.16653165
35,30.9558,14.560758,89.3128491,78.04695019,0.7164,81.16653165
36,30.9558,14.560758,89.3128491,78.04695019,0.7164,81.16653165
37,30.9558,14.560758,89.3128491,78.04695019,0.7164,81.16653165
38,30.9558,14.560758,89.3128491,78.04695019,0.7164,81.16653165
39,52.5598,50.830962,384.7376419,226.2660511,2.363,285.2922127
40,52.5598,50.830962,384.7376419,226.2660511,2.363,285.2922127
41,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
42,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
43,20.1873,11.849551,94.08512036,73.05276384,0.6468,77.59494079
44,20.1873,11.849551,94.08512036,73.05276384,0.6468,77.59494079
45,20.1873,11.849551,94.08512036,73.05276384,0.6468,77.59494079
46,20.1873,11.849551,94.08512036,73.05276384,0.6468,77.59494079
47,19.138,12.218344,101.6793677,76.0524295,0.6487,78.02486598
48,19.138,12.218344,101.6793677,76.0524295,0.6487,78.02486598
49,19.138,12.218344,101.6793677,76.0524295,0.6487,78.02486598
50,19.138,12.218344,101.6793677,76.0524295,0.6487,78.02486598
51,19.138,12.218344,101.6793677,76.0524295,0.6487,78.02486598
52,19.138,12.218344,101.6793677,76.0524295,0.6487,78.02486598
53,19.138,12.218344,101.6793677,76.0524295,0.6487,78.02486598
54,19.138,12.218344,101.6793677,76.0524295,0.6487,78.02486598
55,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
56,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
57,12.5551,8.322758,70.49659162,46.04186481,0.4491,51.93865465
58,19.138,12.218344,101.6793677,76.0524295,0.6487,78.02486598
59,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
60,21.7066,13.978344,108.4220623,88.0524295,0.7466,92.6843919
61,0,2.135586,24.44008144,18.01056468,0.1673,17.3466854
62,21.7066,13.978344,108.4220623,88.0524295,0.7466,92.6843919
63,22.087,13.978344,108.4220623,88.0524295,0.681,82.9643919
