System No,Solute,Solvent 1,Solvent 2,Xs_Exper,x1,x2,xs1p,xs2p,Temp
24.0,Benzoic acid,CCl4,n-Heptane,0.0492,1.0,0.0,0.0492,0.0114,298.0
24.0,Benzoic acid,CCl4,n-Heptane,0.0147,0.0,1.0,0.0598,0.0147,303.0
24.0,Benzoic acid,CCl4,n-Heptane,0.0598,1.0,0.0,0.0598,0.0147,303.0
25.0,Benzoic acid,CCl4,n-Hexane,0.01,0.0,1.0,0.0492,0.01,298.0
25.0,Benzoic acid,CCl4,n-Hexane,0.0492,1.0,0.0,0.0492,0.01,298.0
26.0,Benzoic acid,Cyclohexane,n-Hexane,0.01,0.0,1.0,0.0115,0.01,298.0
26.0,Benzoic acid,Cyclohexane,n-Hexane,0.0115,1.0,0.0,0.0115,0.01,298.0
26.0,Benzoic acid,Cyclohexane,n-Hexane,0.0126,0.0,1.0,0.0146,0.0126,303.0
26.0,Benzoic acid,Cyclohexane,n-Hexane,0.0146,1.0,0.0,0.0146,0.0126,303.0
27.0,Benzoic acid,Cyclohexane,n-Heptane,0.0114,0.0,1.0,0.0115,0.0114,298.0
27.0,Benzoic acid,Cyclohexane,n-Heptane,0.0115,1.0,0.0,0.0115,0.0114,298.0
28.0,Carbazole,Dibutyl Ether,1-ChloroHexane,0.00255,0.0,1.0,0.00501,0.00255,298.0
28.0,Carbazole,Dibutyl Ether,1-ChloroHexane,0.00501,1.0,0.0,0.00501,0.00255,298.0
29.0,Anthracene,n-Hexane,Cyclohexane,0.00129,0.0,1.0,0.001574,0.00129,298.0
29.0,Anthracene,n-Hexane,Cyclohexane,0.001574,1.0,0.0,0.001574,0.00129,298.0
30.0,Anthracene,n-Octane,Cyclohexane,0.001574,0.0,1.0,0.00185,0.001574,298.0
30.0,Anthracene,n-Octane,Cyclohexane,0.00185,1.0,0.0,0.00185,0.001574,298.0
31.0,Anthracene,CycloOctane,Cyclohexane,0.001574,0.0,1.0,0.002258,0.001574,298.0
31.0,Anthracene,CycloOctane,Cyclohexane,0.002258,1.0,0.0,0.002258,0.001574,298.0
32.0,Anthracene,Cyclohexane,n-Heptane,0.001571,0.0,1.0,0.001574,0.001571,298.0
32.0,Anthracene,Cyclohexane,n-Heptane,0.001574,1.0,0.0,0.001574,0.001571,298.0
33.0,Anthracene,Cyclohexane,Iso-Octane,0.001087,0.0,1.0,0.001574,0.001087,298.0
33.0,Anthracene,Cyclohexane,Iso-Octane,0.001574,1.0,0.0,0.001574,0.001087,298.0
34.0,Anthracene,Benzene,n-Hexane,0.00129,0.0,1.0,0.007418,0.00129,298.0
34.0,Anthracene,Benzene,n-Hexane,0.007418,1.0,0.0,0.007418,0.00129,298.0
35.0,Anthracene,Benzene,n-Heptane,0.001571,0.0,1.0,0.007418,0.001571,298.0
35.0,Anthracene,Benzene,n-Heptane,0.007418,1.0,0.0,0.007418,0.001571,298.0
36.0,Anthracene,Benzene,Cyclohexane,0.001574,0.0,1.0,0.007418,0.001574,298.0
36.0,Anthracene,Benzene,Cyclohexane,0.007418,1.0,0.0,0.007418,0.001574,298.0
37.0,Anthracene,Benzene,CycloOctane,0.002258,0.0,1.0,0.007418,0.002258,298.0
37.0,Anthracene,Benzene,CycloOctane,0.007418,1.0,0.0,0.007418,0.002258,298.0
38.0,Anthracene,Benzene,Iso-Octane,0.001087,0.0,1.0,0.007418,0.001087,298.0
38.0,Anthracene,Benzene,Iso-Octane,0.007418,1.0,0.0,0.007418,0.001087,298.0
39.0,Iodine,Hexadecane,n-Heptane,0.00692,0.0,1.0,0.01428,0.00692,298.0
39.0,Iodine,Hexadecane,n-Heptane,0.01428,1.0,0.0,0.01428,0.00692,298.0
40.0,Iodine,Hexadecane,Iso-Octane,0.005923,0.0,1.0,0.01428,0.005923,298.0
40.0,Iodine,Hexadecane,Iso-Octane,0.01428,1.0,0.0,0.01428,0.005923,298.0
41.0,Napthalene,Ethanol,water,4.11e-06,0.0,1.0,0.039835,4.11e-06,298.0
41.0,Napthalene,Ethanol,water,0.039835,1.0,0.0,0.039835,4.11e-06,298.0
42.0,naproxen ,Ethanol,water,5.13e-06,0.0,1.0,0.01494,5.13e-06,298.0
42.0,naproxen ,Ethanol,water,0.01494,1.0,0.0,0.01494,5.13e-06,298.0
42.0,naproxen ,Ethanol,water,5.91e-06,0.0,1.0,0.01976,5.91e-06,303.0
42.0,naproxen ,Ethanol,water,0.01976,1.0,0.0,0.01976,5.91e-06,303.0
43.0,o-chlorobenzoic acid,dimethylformamide,water,0.00024,0.0,1.0,0.16084,0.00024,303.0
43.0,o-chlorobenzoic acid,dimethylformamide,water,0.16084,1.0,0.0,0.16084,0.00024,303.0
44.0,p-chlorobenzoic acid,dimethylformamide,water,9e-06,0.0,1.0,0.47067,9e-06,303.0
