System No,Solute,Solvent 1,Solvent 2,Xs_Exper,x1,x2,xs1p,xs2p,Temp
3.0,Nalidixic Acid,Dioxane,Water,0.0005839,0.6,0.4,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.0012226,0.7,0.3,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.001846,0.8,0.2,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.002273,0.85,0.15,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.0023478,0.9,0.1,0.00134,2.9e-06,303.0
3.0,Nalidixic Acid,Dioxane,Water,0.00134,1.0,0.0,0.00134,2.9e-06,303.0
4.0,Anthracene,squalane,dibutyl ether,0.00354,0.0,1.0,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00361,0.0981,0.9019,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00366,0.1831,0.8169,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00368,0.244,0.756,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00375,0.3325,0.6675,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00385,0.4289,0.5711,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00396,0.5555,0.4445,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00424,0.7333,0.2667,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00439,0.8411,0.1589,0.00472,0.00354,298.0
4.0,Anthracene,squalane,dibutyl ether,0.00472,1.0,0.0,0.00472,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00354,0.0,1.0,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.0036,0.1113,0.8887,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00365,0.2007,0.7993,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00368,0.2949,0.7051,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00367,0.4189,0.5811,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00368,0.5156,0.4844,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.0037,0.6037,0.3963,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.0037,0.6954,0.3046,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00372,0.7861,0.2139,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.00376,0.8672,0.1328,0.0038,0.00354,298.0
5.0,Anthracene,Hexadecane,dibutyl ether,0.0038,1.0,0.0,0.0038,0.00354,298.0
6.0,Carbazole,dibutyl ether,squalane,0.000671,0.0,1.0,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.00107,0.1604,0.8396,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.00108,0.1664,0.8336,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.00132,0.2687,0.7313,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.00185,0.4471,0.5529,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.00234,0.5693,0.4307,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.00241,0.5757,0.4243,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.00274,0.6726,0.3274,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.00321,0.7784,0.2216,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.00356,0.8289,0.1711,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.00413,0.903,0.097,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.0047,0.9625,0.0375,0.00501,0.000671,298.0
6.0,Carbazole,dibutyl ether,squalane,0.00501,1.0,0.0,0.00501,0.000671,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.000414,0.0,1.0,0.00501,0.000414,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.000807,0.136,0.864,0.00501,0.000414,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.00102,0.2098,0.7902,0.00501,0.000414,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.00136,0.313,0.687,0.00501,0.000414,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.00168,0.4032,0.5968,0.00501,0.000414,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.00202,0.4774,0.5226,0.00501,0.000414,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.00237,0.5818,0.4182,0.00501,0.000414,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.00308,0.7127,0.2873,0.00501,0.000414,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.00371,0.8009,0.1991,0.00501,0.000414,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.0043,0.9146,0.0854,0.00501,0.000414,298.0
7.0,Carbazole,dibutyl ether,Hexadecane,0.00501,1.0,0.0,0.00501,0.000414,298.0
8.0,Benzil,CCl4,iso-Octane,0.00587,0.0,1.0,0.08082,0.00587,298.0
8.0,Benzil,CCl4,iso-Octane,0.00797,0.1676,0.8324,0.08082,0.00587,298.0
8.0,Benzil,CCl4,iso-Octane,0.01068,0.3104,0.6896,0.08082,0.00587,298.0
8.0,Benzil,CCl4,iso-Octane,0.0136,0.4072,0.5928,0.08082,0.00587,298.0
8.0,Benzil,CCl4,iso-Octane,0.01368,0.4096,0.5904,0.08082,0.00587,298.0
8.0,Benzil,CCl4,iso-Octane,0.02249,0.6057,0.3943,0.08082,0.00587,298.0
8.0,Benzil,CCl4,iso-Octane,0.02463,0.6358,0.3642,0.08082,0.00587,298.0
8.0,Benzil,CCl4,iso-Octane,0.03126,0.7246,0.2754,0.08082,0.00587,298.0
8.0,Benzil,CCl4,iso-Octane,0.04368,0.8266,0.1734,0.08082,0.00587,298.0
8.0,Benzil,CCl4,iso-Octane,0.08082,1.0,0.0,0.08082,0.00587,298.0
9.0,Benzil,Cyclohexane,iso-Octane,0.00587,0.0,1.0,0.01067,0.00587,298.0
9.0,Benzil,Cyclohexane,iso-Octane,0.0067,0.2494,0.7506,0.01067,0.00587,298.0
9.0,Benzil,Cyclohexane,iso-Octane,0.00724,0.3791,0.6209,0.01067,0.00587,298.0
9.0,Benzil,Cyclohexane,iso-Octane,0.00838,0.618,0.382,0.01067,0.00587,298.0
9.0,Benzil,Cyclohexane,iso-Octane,0.00935,0.7919,0.2081,0.01067,0.00587,298.0
9.0,Benzil,Cyclohexane,iso-Octane,0.0098,0.8704,0.1296,0.01067,0.00587,298.0
9.0,Benzil,Cyclohexane,iso-Octane,0.01067,1.0,0.0,0.01067,0.00587,298.0
10.0,Benzil,Cyclohexane,n-Heptane,0.00659,0.0,1.0,0.01067,0.00659,298.0
10.0,Benzil,Cyclohexane,n-Heptane,0.00718,0.1893,0.8107,0.01067,0.00659,298.0
10.0,Benzil,Cyclohexane,n-Heptane,0.00778,0.3475,0.6525,0.01067,0.00659,298.0
