System no.,AMR,apol,Si,McG_Vol,VABC,MLFER_A,MLFER_BH,MLFER_S,MLFER_E,MW,TopoPSA,SolvAccSA
1,-0.7214385517563553,-0.6304999730939912,-0.35913878125059445,-0.5794761890057815,-0.46598306772217496,0.576926754619406,0.26058327248627794,0.7114099109551921,-0.5917500403447934,-0.7099769372153043,49.33,452.6466418
2,-0.8485774580609514,-0.7624833330071877,-0.5579898139928507,-0.7885677052748804,-0.7123320159262997,-1.5487473947162167,-0.4011773180432074,0.049158044867772865,-0.9736592847436911,-1.100511831416919,29.1,365.3405712
3,0.7395620947562682,1.1702630516735968,1.3053261325649608,1.2994978285742738,1.5333869409384318,-1.2434019368006024,1.6899861480299663,1.302547482697653,0.5561852607385991,1.2682586173614885,69.97,591.236251
4,1.0678425906053515,0.7720771540689432,0.21603539260201338,0.4250179777384372,0.1162822861295567,-1.192511027148,-1.2958776364390714,-0.50420005800393,1.5275151308860853,-0.050375439435010765,0.0,392.6178257
5,1.0678425906053515,0.7720771540689432,0.21603539260201338,0.4250179777384372,0.1162822861295567,-1.192511027148,-1.2958776364390714,-0.50420005800393,1.5275151308860853,-0.050375439435010765,0.0,392.6178257
6,0.5988025768762183,0.26409048137999536,-0.09914836441914573,-0.0701050335291036,-0.47109347708173543,0.25983724063011415,-0.5176471819763966,-0.23529913251205842,1.161058861694079,-0.31906954471645504,12.03,390.5042538
7,0.5988025768762183,0.26409048137999536,-0.09914836441914573,-0.0701050335291036,-0.47109347708173543,0.25983724063011415,-0.5176471819763966,-0.23529913251205842,1.161058861694079,-0.31906954471645504,12.03,390.5042538
8,1.2906504553070712,1.0360438738953364,0.6137374580865252,1.0768705753064947,1.1868623561533105,-1.192511027148,0.2711714419347497,0.9625322628608242,0.2868619785613419,0.7306943514098371,34.14,487.058396
9,1.2906504553070712,1.0360438738953364,0.6137374580865252,1.0768705753064947,1.1868623561533105,-1.192511027148,0.2711714419347497,0.9625322628608242,0.2868619785613419,0.7306943514098371,34.14,487.058396
10,1.2906504553070712,1.0360438738953364,0.6137374580865252,1.0768705753064947,1.1868623561533105,-1.192511027148,0.2711714419347497,0.9625322628608242,0.2868619785613419,0.7306943514098371,34.14,487.058396
11,1.2906504553070712,1.0360438738953364,0.6137374580865252,1.0768705753064947,1.1868623561533105,-1.192511027148,0.2711714419347497,0.9625322628608242,0.2868619785613419,0.7306943514098371,34.14,487.058396
12,1.2906504553070712,1.0360438738953364,0.6137374580865252,1.0768705753064947,1.1868623561533105,-1.192511027148,0.2711714419347497,0.9625322628608242,0.2868619785613419,0.7306943514098371,34.14,487.058396
13,1.2906504553070712,1.0360438738953364,0.6137374580865252,1.0768705753064947,1.1868623561533105,-1.192511027148,0.2711714419347497,0.9625322628608242,0.2868619785613419,0.7306943514098371,34.14,487.058396
14,1.2906504553070712,1.0360438738953364,0.6137374580865252,1.0768705753064947,1.1868623561533105,-1.192511027148,0.2711714419347497,0.9625322628608242,0.2868619785613419,0.7306943514098371,34.14,487.058396
15,1.3530281049465172,1.2737138143818176,1.4384282264331685,1.6282737562001302,1.9025358258130602,1.422498791924184,1.9335140453448172,1.3047698043959337,0.5009960635711285,2.4885022134875427,61.69,533.0020042
16,1.3530281049465172,1.2737138143818176,1.4384282264331685,1.6282737562001302,1.9025358258130602,1.422498791924184,1.9335140453448172,1.3047698043959337,0.5009960635711285,2.4885022134875427,61.69,533.0020042
17,-0.3288640178950005,0.022306346382504578,0.4761075833418498,0.1001602897700941,0.11228646911425583,-1.192511027148,1.4967520555953566,-1.093115308048111,0.3508814472756078,0.34033551259698525,56.22,457.9474004
18,-0.3288640178950005,0.022306346382504578,0.4761075833418498,0.1001602897700941,0.11228646911425583,-1.192511027148,1.4967520555953566,-1.093115308048111,0.3508814472756078,0.34033551259698525,56.22,457.9474004
19,-0.3288640178950005,0.022306346382504578,0.4761075833418498,0.1001602897700941,0.11228646911425583,-1.192511027148,1.4967520555953566,-1.093115308048111,0.3508814472756078,0.34033551259698525,56.22,457.9474004
20,0.5988025768762183,0.26409048137999536,-0.09914836441914573,-0.0701050335291036,-0.47109347708173543,0.25983724063011415,-0.5176471819763966,-0.23529913251205842,1.161058861694079,-0.31906954471645504,12.03,390.5042538
