System no.,AMR,apol,Si,MW,McG_Vol,VABC
1,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
2,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
3,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
4,60.3257783430416,-1.0175318558914053,9.568640927566214,7.484852401628835,-0.8672468193448645,1.3181484727689978
5,60.3257783430416,-1.0175318558914053,9.568640927566214,7.484852401628835,-0.8672468193448645,1.3181484727689978
6,221.827741112937,-0.02970694386699587,34.11504820599885,26.117896779145997,-0.8408434244011872,6.692478044026637
7,92.69257902923505,-0.6658186817697707,18.23906934846427,13.611767538356982,-0.8579699039204065,3.191575539448724
8,58.294491839332615,-1.0293111034284992,9.167081431983524,6.465407973102339,-0.8677564636456746,1.1910598229601441
9,58.294491839332615,-1.0293111034284992,9.167081431983524,6.465407973102339,-0.8677564636456746,1.1910598229601441
10,45.762016467260366,-1.0747476561358402,8.033082941807884,5.572113025055427,-0.8689797836113332,0.9409953587605202
11,29.848063359645057,-1.1397710412696185,6.09712177845237,4.550349545970009,-0.8711459889444191,0.5122818436000821
12,50.97652341859089,-1.0293111034284992,9.167081431983524,6.465407973102339,-0.8677564636456746,1.1910598229601441
13,50.97652341859089,-1.0293111034284992,9.167081431983524,6.465407973102339,-0.8677564636456746,1.1910598229601441
14,40.27707726230609,-1.0488979358549362,8.36511875880365,6.336939436964994,-0.868699349013102,1.0124107725776479
15,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
16,21.046478522334354,-1.2901511721354517,2.7646499874972488,2.1250827267318195,-0.8745867391388156,-0.18223831459743747
17,21.046478522334354,-1.2901511721354517,2.7646499874972488,2.1250827267318195,-0.8745867391388156,-0.18223831459743747
18,21.046478522334354,-1.2901511721354517,2.7646499874972488,2.1250827267318195,-0.8745867391388156,-0.18223831459743747
19,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
20,58.90878497173624,-1.007086116111962,9.148480463042088,8.629932213441485,-0.8666937641155356,1.4109806662818447
21,90.19582667971936,-0.7344667998679155,15.952471399171548,13.989701888975858,-0.8593538443215845,2.911367452925383
22,40.776212819159994,-1.1175460539530813,6.078520809510932,6.714873787583867,-0.8700832894142799,0.732202686054306
23,29.848063359645057,-1.1397710412696185,6.09712177845237,4.550349545970009,-0.8711459889444191,0.5122818436000821
24,45.762016467260366,-1.0747476561358402,8.033082941807884,5.572113025055427,-0.8689797836113332,0.9409953587605202
25,40.547509515929846,-1.1201842088431813,6.899084451632243,4.678818080195291,-0.8702031035769917,0.6909308945608965
26,40.547509515929846,-1.1201842088431813,6.899084451632243,4.678818080195291,-0.8702031035769917,0.6909308945608965
27,45.762016467260366,-1.0747476561358402,8.033082941807884,5.572113025055427,-0.8689797836113332,0.9409953587605202
28,48.4797710690752,-1.0979592215266438,6.8804834826908055,6.843342323721214,-0.8691404040468524,0.9108517364368023
29,29.848063359645057,-1.1397710412696185,6.09712177845237,4.550349545970009,-0.8711459889444191,0.5122818436000821
30,29.848063359645057,-1.1397710412696185,6.09712177845237,4.550349545970009,-0.8711459889444191,0.5122818436000821
31,29.848063359645057,-1.1397710412696185,6.09712177845237,4.550349545970009,-0.8711459889444191,0.5122818436000821
32,45.762016467260366,-1.0747476561358402,8.033082941807884,5.572113025055427,-0.8689797836113332,0.9409953587605202
33,58.294491839332615,-1.0293111034284992,9.167081431983524,6.465407973102339,-0.8677564636456746,1.1910598229601441
34,40.547509515929846,-1.1201842088431813,6.899084451632243,4.678818080195291,-0.8702031035769917,0.6909308945608965
35,45.762016467260366,-1.0747476561358402,8.033082941807884,5.572113025055427,-0.8689797836113332,0.9409953587605202
36,29.848063359645057,-1.1397710412696185,6.09712177845237,4.550349545970009,-0.8711459889444191,0.5122818436000821
37,40.27707726230609,-1.0488979358549362,8.36511875880365,6.336939436964994,-0.868699349013102,1.0124107725776479
38,58.294491839332615,-1.0293111034284992,9.167081431983524,6.465407973102339,-0.8677564636456746,1.1910598229601441
39,45.762016467260366,-1.0747476561358402,8.033082941807884,5.572113025055427,-0.8689797836113332,0.9409953587605202
40,58.294491839332615,-1.0293111034284992,9.167081431983524,6.465407973102339,-0.8677564636456746,1.1910598229601441
41,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
42,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
43,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
44,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
45,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
46,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
47,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
48,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
49,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
50,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
51,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
52,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
53,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
54,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
55,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
56,37.436284939802846,-1.207085651610113,4.6322437892664725,4.802648514577438,-0.8720037888919496,0.40686147876384376
57,32.83607112087594,-1.232935371891017,4.300207972270705,4.037822102667872,-0.8728537748723468,0.1949147998447786
58,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
59,21.046478522334354,-1.2901511721354517,2.7646499874972488,2.1250827267318195,-0.8745867391388156,-0.18223831459743747
60,21.046478522334354,-1.2901511721354517,2.7646499874972488,2.1250827267318195,-0.8745867391388156,-0.18223831459743747
61,21.046478522334354,-1.2901511721354517,2.7646499874972488,2.1250827267318195,-0.8745867391388156,-0.18223831459743747
62,21.046478522334354,-1.2901511721354517,2.7646499874972488,2.1250827267318195,-0.8745867391388156,-0.18223831459743747
63,-1.438978348338063,-1.3810242775501338,0.49665300813084357,0.3384928350994811,-0.8770333790701326,-0.6823672437195825
